Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close
12/14/2017,1.1791,112.17,0.9874,1.344,1.2746
12/15/2017,1.176,112.7,0.9916,1.3316,1.286
12/18/2017,1.1779,112.59,0.9863,1.3375,1.2873
12/19/2017,1.1842,112.99,0.9858,1.338,1.2878
12/20/2017,1.1879,113.38,0.9863,1.3397,1.2832
12/21/2017,1.1872,113.31,0.9881,1.3382,1.2728
12/22/2017,1.1852,113.27,0.9892,1.3377,1.2724
12/25/2017,1.1852,113.27,0.9892,1.3377,1.2724
12/26/2017,1.1862,113.13,0.9892,1.338,1.2692
12/27/2017,1.1895,113.27,0.9867,1.3391,1.2643
12/28/2017,1.1946,112.87,0.9785,1.3443,1.2571
12/29/2017,1.2013,112.62,0.9743,1.3522,1.2533
1/1/2018,1.2013,112.62,0.9743,1.3522,1.2533
1/2/2018,1.2053,112.27,0.9721,1.3598,1.2508
1/3/2018,1.2021,112.43,0.9766,1.3518,1.2528
1/4/2018,1.2067,112.75,0.9749,1.355,1.2492
1/5/2018,1.2039,113.12,0.9752,1.3566,1.2409
1/8/2018,1.1961,113.1,0.9776,1.356,1.2424
1/9/2018,1.1931,112.65,0.9833,1.3531,1.2463
1/10/2018,1.196,111.3,0.9774,1.3512,1.2534
1/11/2018,1.204,111.06,0.9758,1.3535,1.2519
1/12/2018,1.2198,111.03,0.9672,1.3728,1.2457
1/15/2018,1.2269,110.52,0.9627,1.3801,1.2416
1/16/2018,1.2271,110.26,0.9587,1.3794,1.242
1/17/2018,1.2224,111.12,0.9624,1.387,1.2411
1/18/2018,1.2239,111.01,0.9584,1.3891,1.242
1/19/2018,1.223,110.59,0.962,1.3869,1.2481
1/22/2018,1.2257,110.98,0.9622,1.3984,1.2455
1/23/2018,1.2289,110.32,0.9584,1.3994,1.2426
1/24/2018,1.2399,109.08,0.9459,1.4205,1.2325
1/25/2018,1.2409,109.3,0.9414,1.4137,1.2367
1/26/2018,1.2419,108.69,0.9354,1.4149,1.2321
1/29/2018,1.2385,108.97,0.9371,1.4072,1.2327
1/30/2018,1.2396,108.78,0.9345,1.4144,1.2324
1/31/2018,1.2416,109.15,0.9306,1.4203,1.2299
2/1/2018,1.2514,109.34,0.9266,1.4268,1.2267
2/2/2018,1.2452,110.28,0.9315,1.4125,1.2386
2/5/2018,1.2389,109.12,0.9342,1.3971,1.2523
2/6/2018,1.2373,109.52,0.9359,1.3947,1.2496
2/7/2018,1.2269,109.56,0.9438,1.387,1.2561
